iter	Passed	Remaining
619	1924	29122
620	1927	29117
621	1931	29121
622	1934	29114
623	1937	29108
624	1940	29106
625	1943	29098
626	1946	29101
627	1949	29097
628	1952	29094
629	1956	29093
630	1958	29084
631	1961	29080
632	1965	29085
633	1968	29078
634	1971	29077
635	1974	29069
636	1977	29069
637	1981	29075
638	1984	29068
639	1987	29066
640	1990	29060
641	1993	29052
642	1996	29059
643	1999	29052
644	2002	29047
645	2005	29043
646	2008	29034
647	2011	29035
648	2015	29037
649	2018	29030
650	2021	29034
651	2024	29025
652	2027	29020
653	2030	29023
654	2033	29016
655	2036	29011
656	2039	29004
657	2042	28996
658	2046	29003
659	2049	28997
660	2052	28995
661	2055	28991
662	2058	28984
663	2061	28982
664	2065	28988
665	2068	28983
666	2071	28979
667	2073	28970
668	2076	28967
669	2080	28971
670	2083	28965
671	2086	28962
672	2089	28955
673	2092	28947
674	2094	28941
675	2097	28933
676	2101	28941
677	2104	28939
678	2107	28932
679	2111	28939
680	2114	28932
681	2117	28930
682	2120	28926
683	2123	28920
684	2126	28918
685	2129	28916
686	2132	28910
687	2135	28904
688	2138	28896
689	2141	28889
690	2143	28883
691	2146	28874
692	2150	28880
693	2153	28877
694	2156	28873
695	2159	28866
696	2162	28858
697	2165	28855
698	2168	28854
699	2171	28847
700	2174	28839
701	2176	28831
702	2179	28824
703	2182	28820
704	2185	28816
705	2188	28810
706	2191	28802
707	2193	28793
708	2196	28786
709	2200	28787
710	2203	28785
711	2206	28778
712	2208	28769
713	2211	28761
714	2214	28754
715	2217	28753
716	2220	28747
717	2223	28740
718	2225	28732
719	2228	28724
720	2231	28718
721	2234	28719
722	2237	28712
723	2240	28705
724	2244	28709
725	2246	28701
726	2249	28697
727	2253	28696
728	2255	28688
729	2259	28686
730	2261	28680
731	2264	28673
732	2267	28670
733	2270	28664
734	2273	28657
735	2276	28659
736	2279	28653
737	2282	28648
738	2286	28648
739	2288	28641
740	2291	28638
741	2294	28633
742	2297	28627
743	2300	28623
744	2303	28615
745	2306	28615
746	2309	28610
747	2312	28602
748	2316	28605
749	2319	28603
750	2321	28595
751	2324	28588
752	2327	28580
753	2330	28575
754	2334	28580
755	2337	28576
756	2340	28572
757	2343	28567
758	2345	28559
759	2348	28555
760	2351	28549
761	2354	28541
762	2357	28535
763	2360	28533
764	2363	28527
765	2366	28530
766	2369	28524
767	2372	28517
768	2375	28510
769	2377	28502
770	2381	28507
771	2384	28503
772	2387	28496
773	2390	28489
774	2392	28481
775	2395	28473
776	2398	28470
777	2401	28468
778	2404	28462
779	2407	28460
780	2410	28456
781	2413	28448
782	2416	28442
783	2419	28436
784	2421	28429
785	2424	28421
786	2427	28414
787	2430	28417
788	2434	28416
789	2436	28410
790	2440	28414
791	2443	28410
792	2446	28403
793	2449	28399
794	2452	28395
795	2455	28394
796	2459	28394
797	2461	28388
798	2464	28384
799	2467	28380
800	2470	28374
801	2474	28376
802	2477	28372
803	2480	28367
804	2483	28363
805	2485	28357
806	2489	28354
807	2492	28352
808	2495	28345
809	2498	28342
810	2501	28338
811	2503	28331
812	2507	28340
813	2510	28334
814	2513	28330
815	2516	28327
816	2519	28320
817	2523	28327
818	2526	28320
819	2529	28313
820	2532	28309
821	2534	28304
822	2537	28299
823	2541	28302
824	2544	28295
825	2547	28294
826	2550	28290
827	2553	28282
828	2556	28278
829	2558	28272
830	2562	28275
831	2566	28278
832	2569	28280
833	2572	28276
834	2575	28269
835	2579	28274
836	2582	28271
837	2585	28265
838	2588	28259
839	2590	28252
840	2593	28245
841	2597	28249
842	2600	28245
843	2603	28238
844	2605	28232
845	2608	28225
846	2611	28223
847	2614	28219
848	2617	28213
849	2620	28208
850	2623	28206
851	2626	28199
852	2629	28197
853	2632	28195
854	2635	28188
855	2638	28184
856	2641	28184
857	2644	28178
858	2647	28173
859	2650	28168
860	2653	28165
861	2656	28166
862	2659	28160
863	2663	28160
864	2666	28155
865	2668	28149
866	2672	28155
867	2675	28150
868	2678	28147
869	2682	28146
870	2684	28141
871	2688	28140
872	2691	28140
873	2694	28134
874	2697	28131
875	2700	28125
876	2703	28121
877	2706	28124
878	2709	28117
879	2712	28115
880	2715	28110
881	2718	28102
882	2722	28106
883	2725	28103
884	2728	28099
885	2731	28095
886	2734	28089
887	2737	28085
888	2740	28087
889	2743	28082
890	2746	28080
891	2749	28074
892	2752	28071
893	2756	28073
894	2759	28068
895	2762	28065
896	2765	28061
897	2768	28057
898	2771	28059
899	2774	28053
900	2777	28048
901	2780	28047
902	2783	28041
903	2786	28039
904	2790	28041
905	2793	28037
906	2796	28036
907	2799	28030
908	2802	28028
909	2806	28031
910	2809	28025
911	2812	28021
912	2815	28017
913	2817	28011
914	2821	28015
915	2824	28010
916	2827	28006
917	2830	28004
918	2833	27997
919	2836	27996
920	2840	27999
921	2843	27996
922	2846	27995
923	2849	27991
924	2852	27989
925	2856	27990
926	2859	27986
927	2862	27984
928	2865	27978
929	2868	27974
930	2872	27976
931	2874	27971
932	2877	27966
933	2880	27961
934	2883	27958
935	2887	27965
936	2891	27963
937	2894	27965
938	2898	27965
939	2901	27961
940	2904	27963
941	2907	27958
942	2910	27955
943	2913	27952
944	2916	27945
945	2920	27949
946	2923	27944
947	2926	27940
948	2929	27939
949	2932	27933
950	2935	27933
951	2938	27931
952	2941	27925
953	2944	27923
954	2947	27918
955	2950	27912
956	2954	27914
957	2956	27909
958	2960	27906
959	2963	27902
960	2965	27896
961	2969	27895
962	2972	27897
963	2975	27892
964	2978	27888
965	2981	27881
966	2984	27879
967	2988	27881
968	2990	27875
969	2994	27873
970	2996	27867
971	3000	27864
972	3003	27866
973	3006	27860
974	3009	27856
975	3012	27853
976	3015	27846
977	3018	27848
978	3021	27844
979	3024	27842
980	3028	27840
981	3030	27833
982	3034	27830
983	3037	27831
984	3040	27825
985	3043	27821
986	3046	27816
987	3049	27811
988	3052	27813
989	3055	27808
990	3058	27805
991	3061	27801
992	3064	27794
993	3067	27794
994	3071	27798
995	3074	27794
996	3077	27792
997	3080	27787
998	3083	27784
999	3087	27784
1000	3090	27779
1001	3093	27776
1002	3096	27771
1003	3098	27767
1004	3103	27773
1005	3106	27771
1006	3109	27768
1007	3112	27767
1008	3115	27763
1009	3119	27765
1010	3122	27760
1011	3125	27758
1012	3128	27757
1013	3131	27753
1014	3135	27755
1015	3138	27750
1016	3141	27747
1017	3144	27743
1018	3147	27737
1019	3150	27738
1020	3153	27733
1021	3156	27730
1022	3159	27728
1023	3162	27722
1024	3165	27720
1025	3169	27721
1026	3172	27715
1027	3175	27710
1028	3177	27705
1029	3180	27699
1030	3183	27698
1031	3187	27696
1032	3190	27692
1033	3193	27688
1034	3195	27683
1035	3199	27680
1036	3202	27681
1037	3205	27679
1038	3209	27676
1039	3211	27670
1040	3214	27667
1041	3218	27668
1042	3221	27663
1043	3224	27659
1044	3227	27654
1045	3229	27648
1046	3234	27656
1047	3237	27651
1048	3240	27646
1049	3243	27642
1050	3245	27637
1051	3249	27635
1052	3252	27635
1053	3255	27631
1054	3258	27629
1055	3261	27623
1056	3264	27619
1057	3268	27621
1058	3270	27615
1059	3273	27610
1060	3276	27605
1061	3279	27600
1062	3283	27601
1063	3285	27595
1064	3288	27592
1065	3291	27588
1066	3294	27582
1067	3297	27578
1068	3301	27584
1069	3304	27580
1070	3307	27578
1071	3310	27572
1072	3313	27569
1073	3317	27570
1074	3320	27564
1075	3323	27560
1076	3326	27556
1077	3328	27550
1078	3332	27553
1079	3335	27550
1080	3338	27546
1081	3341	27543
1082	3344	27537
1083	3348	27538
1084	3351	27537
1085	3354	27534
1086	3357	27531
1087	3360	27527
1088	3363	27524
1089	3367	27525
1090	3370	27520
